Note:
Results of the csv export.
If more than one entry per data field is available for a strain, the export contains multiple lines per strain.
At the end of the line you find the reference for each exported entry.


Export with Textmined data

strains.ID_strains;strains.Culture collection no.;strains.Species;strains.Strain Designation;strains_tax_PNU.Species (PNU);strains_tax_PNU.ID_reference
"148125";"CCUG 34846";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148126";"CCUG 34847";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148176";"CCUG 34991";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148177";"CCUG 34992";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148178";"CCUG 34993";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148179";"CCUG 34994";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148180";"CCUG 34995";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148181";"CCUG 34996";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"156083";"CCUG 60330";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"196";"DSM 24894, CCM 7951, CCUG 61299, CIP 110333, LMG 26472";"Actinomyces weissii";"2298, 2298/06";"Actinomyces weissii";"20215";

"145";"DSM 15541, CCUG 27420, CIP 105739, LMG 18293, CCM 4738";"Actinotignum schaalii";"B 5329";"Actinotignum schaalii";"20215";

"152374";"CCUG 46571";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"152517";"CCUG 46991";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"152580";"CCUG 47114";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"152866";"CCUG 47821";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"152973";"CCUG 48163";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"153223";"CCUG 48796";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"153241";"CCUG 48858";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"153332";"CCUG 49248";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"154290";"CCUG 52983";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"154443";"CCUG 53637";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"154541";"CCUG 54302";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"154847";"CCUG 55385";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"155357";"CCUG 57443";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"156006";"CCUG 60011";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"156305";"CCUG 61109";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"156371";"CCUG 61329";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

"153154";"CCUG 48594 B";"Actinotignum urinale";"";"Actinotignum urinale";"20215";

"226";"DSM 15819, CCM 4911, CCUG 28831, CIP 106115, JCM 18985";"Aerococcus christensenii";"UW06";"Aerococcus christensenii";"20215";

"151577";"CCUG 44378";"Aerococcus sanguinicola";"";"";"";

"151578";"CCUG 44379";"Aerococcus sanguinicola";"";"";"";

"151579";"CCUG 44380";"Aerococcus sanguinicola";"";"";"";

"151580";"CCUG 44381";"Aerococcus sanguinicola";"";"";"";

"151581";"CCUG 44382";"Aerococcus sanguinicola";"";"";"";

"151582";"CCUG 44383";"Aerococcus sanguinicola";"";"";"";

"152559";"CCUG 47052";"Aerococcus sanguinicola";"";"";"";

"152766";"CCUG 47573";"Aerococcus sanguinicola";"";"";"";

"152780";"CCUG 47603";"Aerococcus sanguinicola";"";"";"";

"153155";"CCUG 48595";"Aerococcus sanguinicola";"";"";"";

"153161";"CCUG 48605";"Aerococcus sanguinicola";"";"";"";

"153187";"CCUG 48681";"Aerococcus sanguinicola";"";"";"";

"153421";"CCUG 49521";"Aerococcus sanguinicola";"";"";"";

"154334";"CCUG 53143";"Aerococcus sanguinicola";"";"";"";

"156483";"CCUG 61975";"Aerococcus sanguinicola";"";"";"";

"156681";"CCUG 64110";"Aerococcus sanguinicola";"";"";"";

"156753";"CCUG 64841";"Aerococcus sanguinicola";"";"";"";

"156862";"CCUG 66173";"Aerococcus sanguinicola";"";"";"";

"156968";"CCUG 67745";"Aerococcus sanguinicola";"";"";"";

"227";"DSM 21500, CCUG 52530, CECT 7139, JCM 18035";"Aerococcus suis";"1821/02";"Aerococcus suis";"20215";

"154339";"CCUG 53172";"Aerococcus suis";"";"Aerococcus suis";"20215";

"154340";"CCUG 53173";"Aerococcus suis";"";"Aerococcus suis";"20215";

"145776";"CCUG 29554";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"145777";"CCUG 29557";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"136284";"CIP 104245, CCUG 29561";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"148808";"CCUG 35965";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"150941";"CCUG 42806";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"152204";"CCUG 46058";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"152414";"CCUG 46736";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"152463";"CCUG 46861";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"152834";"CCUG 47740";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"152840";"CCUG 47762";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"154693";"CCUG 54863";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"154931";"CCUG 55757";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"155750";"CCUG 59201";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"155876";"CCUG 59500";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"156002";"CCUG 59979";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"156228";"CCUG 60792";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"156413";"CCUG 61617";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"156675";"CCUG 64058";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"153229";"CCUG 48817 A";"Aerococcus urinae";"";"Aerococcus urinae";"20215";

"222";"CCUG 28094, CIP 103442, NCIMB 701636, DSM 20341, ATCC 29723, JCM 12519, NCDO 1636";"Aerococcus urinaeequi";"PUE";"Aerococcus urinaeequi";"20215";

"150693";"CCUG 41975, IFO 12173, ATCC 29722, LMG 14194";"Aerococcus urinaeequi";"";"Aerococcus urinaeequi";"20215";

"153005";"CCUG 48252";"Aerococcus urinaeequi";"";"Aerococcus urinaeequi";"20215";

"225";"CCUG 42038 B, CCM 7338, DSM 15634, ATCC BAA 464, CCUG 42038b, CIP 106675, JCM 18987";"Aerococcus urinaehominis";"";"Aerococcus urinaehominis";"20215";

"23528";"DSM 27293, JCM 19163";"Aerococcus vaginalis";"BV2";"Aerococcus vaginalis";"20215";

