"tax_id","org_name","growth_tmp","ref_type","reference"
160808,"acidithiobacillus_ferrivorans",28,"doi","doi.org/10.1186/s12866-018-1320-7"
920,"acidithiobacillus_ferrooxidans",28,"doi","doi.org/10.1186/s12866-018-1320-7"
1872118,"acidithiobacillus_sp",45,"doi","doi.org/10.1186/s12866-018-1320-7"
930,"acidithiobacillus_thiooxidans",27,"doi","doi.org/10.1186/s12866-018-1320-7"
33075,"acidobacterium_capsulatum",30,"doi","doi.org/10.1186/s12866-018-1320-7"
33998,"acidocella_aminolytica",34,"doi","doi.org/10.1186/s12866-018-1320-7"
1303579,"acidocella_aromatica",30,"doi","doi.org/10.1186/s12866-018-1320-7"
28049,"acidothermus_cellulolyticus",55,"doi","doi.org/10.1186/s12866-018-1320-7"
78229,"acidovorax_anthurii",29,"doi","doi.org/10.1186/s12866-018-1320-7"
80867,"acidovorax_avenae",27,"doi","doi.org/10.1186/s12866-018-1320-7"
343013,"acidovorax_caeni",28,"doi","doi.org/10.1186/s12866-018-1320-7"
80868,"acidovorax_cattleyae",27,"doi","doi.org/10.1186/s12866-018-1320-7"
80869,"acidovorax_citrulli",28,"doi","doi.org/10.1186/s12866-018-1320-7"
86669,"acidovorax_defluvii",30,"doi","doi.org/10.1186/s12866-018-1320-7"
47920,"acidovorax_delafieldii",27,"doi","doi.org/10.1186/s12866-018-1320-7"
12917,"acidovorax_facilis",29,"doi","doi.org/10.1186/s12866-018-1320-7"
32040,"acidovorax_konjaci",28,"doi","doi.org/10.1186/s12866-018-1320-7"
862720,"acidovorax_oryzae",26,"doi","doi.org/10.1186/s12866-018-1320-7"
758826,"acidovorax_radicis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
592050,"acidovorax_soli",28,"doi","doi.org/10.1186/s12866-018-1320-7"
1872122,"acidovorax_sp",29,"doi","doi.org/10.1186/s12866-018-1320-7"
80878,"acidovorax_temperans",28,"doi","doi.org/10.1186/s12866-018-1320-7"
187868,"acidovorax_valerianellae",27,"doi","doi.org/10.1186/s12866-018-1320-7"
1177982,"acidovorax_wautersii",29,"doi","doi.org/10.1186/s12866-018-1320-7"
379547,"aciduliprofundum_boonei",70,"doi","doi.org/10.1186/s12866-018-1320-7"
107673,"acinetobacter_anitratus",36,"doi","doi.org/10.1186/s12866-018-1320-7"
470,"acinetobacter_baumannii",33,"doi","doi.org/10.1186/s12866-018-1320-7"
202950,"acinetobacter_baylyi",31,"doi","doi.org/10.1186/s12866-018-1320-7"
262668,"acinetobacter_beijerinckii",29,"doi","doi.org/10.1186/s12866-018-1320-7"
106648,"acinetobacter_bereziniae",29,"doi","doi.org/10.1186/s12866-018-1320-7"
1435036,"acinetobacter_bohemicus",30,"doi","doi.org/10.1186/s12866-018-1320-7"
1219383,"acinetobacter_boissieri",30,"doi","doi.org/10.1186/s12866-018-1320-7"
202951,"acinetobacter_bouvetii",30,"doi","doi.org/10.1186/s12866-018-1320-7"
396323,"acinetobacter_brisouii",29,"doi","doi.org/10.1186/s12866-018-1320-7"
471,"acinetobacter_calcoaceticus",33,"doi","doi.org/10.1186/s12866-018-1320-7"
280147,"acinetobacter_courvalinii",30,"doi","doi.org/10.1186/s12866-018-1320-7"
70348,"acinetobacter_dispersus",30,"doi","doi.org/10.1186/s12866-018-1320-7"
1443941,"acinetobacter_gandensis",37,"doi","doi.org/10.1186/s12866-018-1320-7"
1255681,"acinetobacter_genospecies",32,"doi","doi.org/10.1186/s12866-018-1320-7"
202952,"acinetobacter_gerneri",30,"doi","doi.org/10.1186/s12866-018-1320-7"
474,"acinetobacter_glutaminasificans",26,"doi","doi.org/10.1186/s12866-018-1320-7"
106649,"acinetobacter_guillouiae",30,"doi","doi.org/10.1186/s12866-018-1320-7"
134534,"acinetobacter_gyllenbergii",34,"doi","doi.org/10.1186/s12866-018-1320-7"
29430,"acinetobacter_haemolyticus",31,"doi","doi.org/10.1186/s12866-018-1320-7"
1353941,"acinetobacter_harbinensis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
756892,"acinetobacter_indicus",31,"doi","doi.org/10.1186/s12866-018-1320-7"
40214,"acinetobacter_johnsonii",29,"doi","doi.org/10.1186/s12866-018-1320-7"
40215,"acinetobacter_junii",30,"doi","doi.org/10.1186/s12866-018-1320-7"
1226327,"acinetobacter_kookii",35,"doi","doi.org/10.1186/s12866-018-1320-7"
595670,"acinetobacter_kyonggiensis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
28090,"acinetobacter_lwoffii",30,"doi","doi.org/10.1186/s12866-018-1320-7"
281375,"acinetobacter_marinus",30,"doi","doi.org/10.1186/s12866-018-1320-7"
1776740,"acinetobacter_modestus",30,"doi","doi.org/10.1186/s12866-018-1320-7"
1219382,"acinetobacter_nectaris",28,"doi","doi.org/10.1186/s12866-018-1320-7"
106654,"acinetobacter_nosocomialis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
742719,"acinetobacter_oryzae",30,"doi","doi.org/10.1186/s12866-018-1320-7"
1435036,"acinetobacter_pakistanensis",25,"doi","doi.org/10.1186/s12866-018-1320-7"
519,"acinetobacter_parapertussis",37,"doi","doi.org/10.1186/s12866-018-1320-7"
134533,"acinetobacter_parvus",30,"doi","doi.org/10.1186/s12866-018-1320-7"
48296,"acinetobacter_pittii",29,"doi","doi.org/10.1186/s12866-018-1320-7"
1776741,"acinetobacter_proteolyticus",30,"doi","doi.org/10.1186/s12866-018-1320-7"
1096779,"acinetobacter_puyangensis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
40216,"acinetobacter_radioresistens",29,"doi","doi.org/10.1186/s12866-018-1320-7"
632955,"acinetobacter_rudis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
108981,"acinetobacter_schindleri",29,"doi","doi.org/10.1186/s12866-018-1320-7"
1530123,"acinetobacter_seifertii",34,"doi","doi.org/10.1186/s12866-018-1320-7"
281376,"acinetobacter_seohaensis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
465797,"acinetobacter_septicus",37,"doi","doi.org/10.1186/s12866-018-1320-7"
487316,"acinetobacter_soli",29,"doi","doi.org/10.1186/s12866-018-1320-7"
472,"acinetobacter_sp",32,"doi","doi.org/10.1186/s12866-018-1320-7"
202954,"acinetobacter_tandoii",30,"doi","doi.org/10.1186/s12866-018-1320-7"
202955,"acinetobacter_tjernbergiae",30,"doi","doi.org/10.1186/s12866-018-1320-7"
202956,"acinetobacter_towneri",30,"doi","doi.org/10.1186/s12866-018-1320-7"
108980,"acinetobacter_ursingii",30,"doi","doi.org/10.1186/s12866-018-1320-7"
70346,"acinetobacter_variabilis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
52133,"acinetobacter_venetianus",29,"doi","doi.org/10.1186/s12866-018-1320-7"
1776742,"acinetobacter_vivianii",30,"doi","doi.org/10.1186/s12866-018-1320-7"
35763,"acrocarpospora_corrugata",27,"doi","doi.org/10.1186/s12866-018-1320-7"
150177,"acrocarpospora_macrocephala",28,"doi","doi.org/10.1186/s12866-018-1320-7"
1070424,"acrocarpospora_phusangensis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
90975,"acrocarpospora_pleiomorpha",28,"doi","doi.org/10.1186/s12866-018-1320-7"
1087332,"actibacterium_mucosum",30,"doi","doi.org/10.1186/s12866-018-1320-7"
555372,"actinaurispora_siamensis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
502577,"actinoallomurus_acaciae",28,"doi","doi.org/10.1186/s12866-018-1320-7"
1136071,"actinoallomurus_acanthiterrae",28,"doi","doi.org/10.1186/s12866-018-1320-7"
478109,"actinoallomurus_amamiensis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
1490222,"actinoallomurus_bryophytorum",28,"doi","doi.org/10.1186/s12866-018-1320-7"
478115,"actinoallomurus_caesius",28,"doi","doi.org/10.1186/s12866-018-1320-7"
478106,"actinoallomurus_coprocola",28,"doi","doi.org/10.1186/s12866-018-1320-7"
478108,"actinoallomurus_fulvus",28,"doi","doi.org/10.1186/s12866-018-1320-7"
478107,"actinoallomurus_iriomotensis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
1080073,"actinoallomurus_liliacearum",28,"doi","doi.org/10.1186/s12866-018-1320-7"
478111,"actinoallomurus_luridus",28,"doi","doi.org/10.1186/s12866-018-1320-7"
502180,"actinoallomurus_oryzae",28,"doi","doi.org/10.1186/s12866-018-1320-7"
478114,"actinoallomurus_purpureus",28,"doi","doi.org/10.1186/s12866-018-1320-7"
877472,"actinoallomurus_radicium",28,"doi","doi.org/10.1186/s12866-018-1320-7"
79912,"actinoallomurus_spadix",33,"doi","doi.org/10.1186/s12866-018-1320-7"
1080074,"actinoallomurus_vinaceus",28,"doi","doi.org/10.1186/s12866-018-1320-7"
478110,"actinoallomurus_yoronensis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
65497,"actinoalloteichus_cyanogriseus",29,"doi","doi.org/10.1186/s12866-018-1320-7"
1470176,"actinoalloteichus_hoggarensis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
340345,"actinoalloteichus_hymeniacidonis",29,"doi","doi.org/10.1186/s12866-018-1320-7"
681644,"actinoalloteichus_nanshanensis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
252394,"actinoalloteichus_spitiensis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
