"org_name","tax_id","sporulation","gram_stain","metabolism","cell_shape","motility","ref_type","reference"
"Bacteroides fluxus",626930,"0",NA,"strictanaero","bacilli","no","doi","doi.org/10.1093/nar/gkw964"
"Rhizobium sp. OR191",147710,"0","0","strictaero","bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Odoribacter laneus",626933,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Alistipes indistinctus",626932,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Collinsella tanakaei",626935,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Slackia piriformis",626934,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Myroides odoratus",256,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Sphingobacterium spiritivorum",258,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Agrobacterium sp. 224MFTsu3.1",1167635,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thiomargarita namibiensis",90373,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Anaerococcus hydrogenalis",33029,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Brucella sp. 83/13",520449,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Ornithinibacillus scapharcae",1147159,"1","1",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Francisella tularensis",263,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Brucella sp. NVSL 07-0026",520448,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Parvimonas micra",33033,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Candidatus Phytoplasma solani",69896,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Paracoccus denitrificans",266,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Anaerococcus prevotii",33034,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Anaerococcus vaginalis",33037,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thermus aquaticus",271,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thermus thermophilus",274,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Sphingobium indicum",332055,"0","0","strictaero","bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Bartonella doshiae",33044,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Meiothermus ruber",277,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bartonella grahamii",33045,"0","0","strictaero","bacilli","yes","doi","doi.org/10.1093/nar/gkw964"
"Bartonella taylorii",33046,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bartonella vinsonii",33047,"0","0","strictaero","bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
