"tax_id","org_name","isolation_source","metabolism","growth_tmp","ref_type","reference"
931534,"Lactobacillus senioris","faeces of healthy 100-year-old japanese female","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
431273,"Lactobacillus senmaizukei","senmaizuke, a japanese pickle","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
1626,"Lactobacillus sharpeae","municipal sewage","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
1231337,"Lactobacillus shenzhenensis","fermented dairy beverage","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
1416943,"Lactobacillus sicerae","spanish natural cider","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
1293415,"Lactobacillus silagei","orchardgrass silage","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
348151,"Lactobacillus siliginis","wheat sourdough","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
414682,"Lactobacillus similis","fermented cane molasses of alcohol plants","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
1296539,"Lactobacillus songhuajiangensis","sourdough","Microaerophilic",28,"doi","doi.org/10.1128/AEM.01738-18"
216463,"Lactobacillus spicheri","rice sourdough","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
519050,"Lactobacillus sucicola","sap of an oak tree","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
152335,"Lactobacillus suebicus","apple mash","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
481719,"Lactobacillus sunkii","sunki, a japanese traditional pickle","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
508451,"Lactobacillus taiwanensis","silage cattle feed","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
381741,"Lactobacillus thailandensis","fermented tea leaves (miang)","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
238012,"Lactobacillus tucceti","sausage","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
227945,"Lactobacillus ultunensis","gastric biopsies, human stomach mucosa","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
303240,"Lactobacillus uvarum","must of bobal grape variety","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
176291,"Lactobacillus vaccinostercus","cow dung","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
1633,"Lactobacillus vaginalis","vaginal swab","Anaerobic",28,"doi","doi.org/10.1128/AEM.01738-18"
194326,"Lactobacillus versmoldensis","poultry salami","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
1249630,"Lactobacillus vespulae","gut of queen wasp","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
238015,"Lactobacillus vini","must of grape","Aerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
1335616,"Lactobacillus wasatchensis","cheddar cheese","Anaerobic",25,"doi","doi.org/10.1128/AEM.01738-18"
942150,"Lactobacillus xiangfangensis","pickles","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
1054041,"Lactobacillus yonginensis","kimchi","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
57037,"Lactobacillus zeae","corn steep liquor","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
267363,"Lactobacillus zymae","artisanal wheat sourdough","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
