"tax_id","org_name","metabolism","ref_type","reference"
75658,"Campylobacter lanienae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
201,"Campylobacter lari","microaerophilic","doi","doi.org/10.1093/nar/gky879"
488545,"Campylobacter lari subsp. concheus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
650054,"Campylobacter lari subsp. lari","microaerophilic","doi","doi.org/10.1093/nar/gky879"
202,"Campylobacter mucosalis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1848766,"Campylobacter ornithocola","microaerophilic","doi","doi.org/10.1093/nar/gky879"
488546,"Campylobacter peloridis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1965231,"Campylobacter pinnipediorum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1874362,"Campylobacter pinnipediorum subsp. caledonicus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
204,"Campylobacter showae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
206,"Campylobacter sputorum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
32023,"Campylobacter sputorum subsp. bubulus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
49669,"Paris","microaerophilic","doi","doi.org/10.1093/nar/gky879"
32024,"Campylobacter sputorum subsp. sputorum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
497724,"Campylobacter subantarcticus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
654363,"Campylobacter troglodytis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
28080,"Campylobacter upsaliensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
827,"Campylobacter ureolyticus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1031542,"Campylobacter volucris","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1365628,"Canibacter oris","microaerophilic","doi","doi.org/10.1093/nar/gky879"
28188,"Capnocytophaga canimorsus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1848903,"Capnocytophaga canis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
28189,"Capnocytophaga cynodegmi","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1017,"Capnocytophaga gingivalis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
45242,"Capnocytophaga granulosa","microaerophilic","doi","doi.org/10.1093/nar/gky879"
327575,"Capnocytophaga leadbetteri","microaerophilic","doi","doi.org/10.1093/nar/gky879"
