isolate.code,name,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,bv,bv.choice
507,Closterium parvulum,,,,,parvulum,Closterium,Closteriaceae,Desmidiales,Conjugatophyceae,Charophyta,Plantae,Eukaryota,3.482873584,1
508,Acutodesmus obliquus,Scenedesmus acutus,,,,obliquus,Acutodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,1.549968865,2
509,Synechocystis sp. strain PCC 6803,,,PCC 6803,,,Synechocystis,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,0.533454475,1
510,Chlorogonium sp.,,,,,,Chlorogonium,Haematococcaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,1.783725182,1
511,Chlorella sp. strain YEL,,,YEL,,,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,2.013915739,1
512,Micractinium pusillum,,,,,pusillum,Micractinium,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,1.596693777,1
513,Scenedesmus almeriensis strain CCAP 276/24,,,CCAP 276/24,,almeriensis,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.02022462,3
514,Acutodesmus obliquus,Scendesmus crassus,Scendesmus acutus,,,obliquus,Acutodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2,2
515,Mucidosphaerium pulchellum,Dictyosphaerium pulchellum ,,,,pulchellum,Mucidosphaerium,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,1.40557942,2
516,Fragilaria  bidens,,,,,bidens,Fragilaria,Fragilariaceae,Fragilariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.447158031,1
517,Desmodesmus abundans,Scenedesmus abundans,,,,abundans,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,1.028126396,2
518,Acutodesmus dimorphus,Scenedesmus dimorphus,,,,dimorphus,Acutodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.318875777,2
519,Scedesmus ecornis,,,,,ecornis,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.02022462,3
520,Closterium acerosum strain UTEX LB1076,,,UTEX LB1076,,acerosum,Closterium,Closteriaceae,Desmidiales,Conjugatophyceae,Charophyta,Plantae,Eukaryota,2.774635394,3
522,Desmidium swartzii strain UTEX 560,,,UTEX 560,,swartzii,Desmidium,Desmidiaceae,Desmidiales,Conjugatophyceae,Charophyta,Plantae,Eukaryota,3.681241237,1
524,Cosmarium sp.,,,,,,Cosmarium,Desmidiaceae,Desmidiales,Conjugatophyceae,Charophyta,Plantae,Eukaryota,2.3881881,1
