ORGANISM_ID	TERM
221	Fresh water
221	Aquatic
234	Sediment
234	Fresh water
234	Aquatic
237	Sediment
280	Fresh water
322	Soil
322	Host
351	Terrestrial
351	Soil
351	Fresh water
2839	Marine
2884	Fresh water
7367	Host
7368	Host
7407	Host
7456	Host
17130	Human fecal
17130	Host
4861	Mat
4861	Lake
4861	Aquatic
4879	Host
4910	Host
4927	Soil
4935	Host
4979	Host
5030	Human intestinal microflora
5030	Host
5082	Plants
5102	Human intestinal microflora
5102	Host
7503	Host
7586	Host
7605	Host
7606	Host
7621	Soil
7670	Human intestinal microflora
7670	Host
17281	Human fecal
17281	Host
4122	Host
4136	Oral cavity
4136	Host
4146	Soil
4167	Swine upper respiratory tract
4167	Host
4198	Marine
4198	Host
4230	Soil
5116	Fresh water
5116	Aquatic
5148	Host
9380	Host
9413	Soil
9413	Human intestinal microflora
9413	Host
9489	Plants
9489	Plant root
9489	Host
9536	Host
36017	Built environment
11748	Intestinal tract
4253	Human intestinal microflora
4253	Human fecal
4253	Host
4253	Gastrointestinal tract
4253	Feces
4263	Human skin
4263	Host
4270	Host
4270	Fresh water
4285	Host
4288	Host
4289	Host
4310	Marine
4310	Hydrothermal vent
4310	Deep sea
8682	Human airways
8682	Host
8692	Host
8708	Skin
8708	Human skin
8708	Host
8708	Fresh water
9589	Soil
9723	Marine
13655	Marine
13655	Aquatic
13691	Wastewater treatment plant
13691	Sludge
13698	Host
13698	Bovine
36271	Hot spring
16286	Host
16338	Host
8721	Human airways
8721	Host
8745	Skin
8745	Human skin
8745	Host
8745	Fresh water
8748	Skin
8748	Human skin
8748	Host
8748	Fresh water
8762	Host
8778	Acid mine drainage
8790	Host
8817	Host
13051	Cheese
13716	Air
13762	Fermented food product
13822	Fresh water
13822	Aquatic
13875	Host
13934	Human
13934	Host
383	Host
405	Insect
405	Host
16382	Soil
2936	Marine
2936	Fresh water
13088	Human
13088	Host
13092	Plants
13092	Fruits
13127	Fresh water
13127	Aquatic
13163	Human
13163	Host
13184	Aquatic
13190	Aquatic
13194	Aquatic
421	Host
432	Marine
457	Self-heated organic materials
457	Host
469	Host
481	Host
504	Host
515	Host
515	Fresh water
545	Soil
545	Host
563	Host
563	Gastrointestinal tract
563	Feces
3220	Sediment
3220	Marine sediment
3220	Marine geothermal field
3220	Marine
3220	Hydrothermal vent
3220	Hydrothermal sediment
3287	Host
3339	Host
3339	Gastrointestinal tract
3339	Feces
7712	Host
7740	Host
7744	Host
7765	Host
17674	Marine
5207	Human oral cavity
5207	Host
5222	Human skin
5222	Host
5248	Human oral cavity
5248	Host
5257	Vagina
5257	Human oral cavity
5257	Host
5286	Human airways
5286	Host
37125	Soil
7792	Human intestinal microflora
7792	Host
7895	Human intestinal microflora
7895	Host
7942	Sediment
7942	Marine
7962	Host
12062	Human stomach
12103	Skin
12103	Oral cavity
12103	Intestinal tract
4387	Host
12134	Oral cavity
4425	Host
4433	Oral cavity
4433	Host
4465	Host
4488	Host
4492	Host
4526	Human intestinal microflora
4526	Host
5346	Human airways
5346	Host
5380	Human airways
5380	Host
5399	Oral cavity
5399	Host
9756	Soil
9756	Root nodule
9756	Plant root
9756	Host
9765	Host
9765	Fresh water
32928	Aquatic
12214	Soil
12214	Root nodule
12214	Rhizosphere
12237	Marine
12237	Aquatic
12258	Plants
12309	Host
16418	Soil
16418	Fresh water
43773	Marine
2312	Fresh water
2317	Hydrothermal vent
2317	Hot spring
2317	Fresh water
2317	Aquatic
19727	Soil
19727	Host
2333	Sea water
2333	Aquatic
2382	Host
2382	Aquatic
2400	Host
2431	Host
2472	Host
1500	Host
1501	Host
1515	Host
1539	Fresh water
1542	Marine
1583	Host
1598	Host
1612	Host
1645	Host
1817	Marine
1817	Aquatic
1847	Host
2581	Host
2626	Host
2645	Host
101269	Water
85412	Antarctic soil
43199	Marine
43199	Aquatic
11247	Soil
11247	Host
32816	Plants
1920	Soil
1938	Host
1954	Host
1954	Gastrointestinal tract
1954	Feces
1960	Soil
1960	Plant symbiont
1960	Host
43341	Insect
43341	Aquatic
1992	Soil
1992	Host
2050	Oral cavity
2050	Host
2117	Intestinal tract
2117	Host
2132	Marine
2132	Fresh water
2143	Insect endosymbiont
2143	Host
42502	Host
42539	Soil
44302	Sea water
7617	Host
37386	Marine
37386	Aquatic
2147	Host
2147	Endosymbiont
2158	Urogenital tract
2158	Host
2174	Host
2174	Fresh water
2182	Marine
2182	Host
2229	Host
42688	Plant
2293	Sediment
2293	Fresh water
2302	Fresh water
